Sender,Receiver,Ligand,Receptor,LRscore
Adarb2-iNeuron,mural,ADAM15,ITGB1,0
L2-L3-eNeuron,mural,ADAM15,ITGB1,0
microglia,mural,ADAM15,ITGB1,0
L4-eNeuron,OPC,AGRN,DAG1,0
L4-eNeuron,astrocytes,AGRN,DAG1,0
L4-eNeuron,endothelial,AGRN,DAG1,0
L4-eNeuron,mural,AGRN,DAG1,0
L4-eNeuron,OPC,AGRN,LRP4,0
L4-eNeuron,Olig,AGRN,LRP4,0
L4-eNeuron,astrocytes,AGRN,LRP4,0
L4-eNeuron,endothelial,AGRN,LRP4,0
L5-eNeuron,OPC,AGRN,DAG1,0
L5-eNeuron,astrocytes,AGRN,DAG1,0
L5-eNeuron,endothelial,AGRN,DAG1,0
L5-eNeuron,mural,AGRN,DAG1,0
L5-eNeuron,OPC,AGRN,LRP4,0
L5-eNeuron,Olig,AGRN,LRP4,0
L5-eNeuron,astrocytes,AGRN,LRP4,0
L5-eNeuron,endothelial,AGRN,LRP4,0
Olig,OPC,AGRN,DAG1,0
Olig,astrocytes,AGRN,DAG1,0
Olig,endothelial,AGRN,DAG1,0
Olig,mural,AGRN,DAG1,0
Olig,OPC,AGRN,LRP4,0
Olig,astrocytes,AGRN,LRP4,0
Olig,endothelial,AGRN,LRP4,0
astrocytes,OPC,AGRN,DAG1,0
astrocytes,endothelial,AGRN,DAG1,0
astrocytes,mural,AGRN,DAG1,0
astrocytes,OPC,AGRN,LRP4,0
astrocytes,Olig,AGRN,LRP4,0
astrocytes,endothelial,AGRN,LRP4,0
endothelial,OPC,AGRN,DAG1,0
endothelial,astrocytes,AGRN,DAG1,0.07504763312607572
endothelial,mural,AGRN,DAG1,0
endothelial,OPC,AGRN,LRP4,0
endothelial,Olig,AGRN,LRP4,0
endothelial,astrocytes,AGRN,LRP4,0.059521483415330825
mural,OPC,AGRN,DAG1,0
mural,astrocytes,AGRN,DAG1,0
mural,endothelial,AGRN,DAG1,0
mural,OPC,AGRN,LRP4,0
mural,Olig,AGRN,LRP4,0
mural,astrocytes,AGRN,LRP4,0
mural,endothelial,AGRN,LRP4,0
mural,astrocytes,BGN,FGFR3,0
Adarb2-iNeuron,L2-L3-eNeuron,CADM3,CADM3,0
Adarb2-iNeuron,Lhx6-iNeuron,CADM3,CADM3,0
Adarb2-iNeuron,OPC,CADM3,CADM3,0
L2-L3-eNeuron,Adarb2-iNeuron,CADM3,CADM3,0
L2-L3-eNeuron,Lhx6-iNeuron,CADM3,CADM3,0
L2-L3-eNeuron,OPC,CADM3,CADM3,0
L4-eNeuron,Adarb2-iNeuron,CADM3,CADM3,0
L4-eNeuron,L2-L3-eNeuron,CADM3,CADM3,0.081987852816083
L4-eNeuron,Lhx6-iNeuron,CADM3,CADM3,0
L4-eNeuron,OPC,CADM3,CADM3,0
L5-eNeuron,Adarb2-iNeuron,CADM3,CADM3,0
L5-eNeuron,L2-L3-eNeuron,CADM3,CADM3,0
L5-eNeuron,Lhx6-iNeuron,CADM3,CADM3,0
L5-eNeuron,OPC,CADM3,CADM3,0
L6-eNeuron,Adarb2-iNeuron,CADM3,CADM3,0
L6-eNeuron,Lhx6-iNeuron,CADM3,CADM3,0
L6-eNeuron,OPC,CADM3,CADM3,0
Lhx6-iNeuron,Adarb2-iNeuron,CADM3,CADM3,0
Lhx6-iNeuron,L2-L3-eNeuron,CADM3,CADM3,0
Lhx6-iNeuron,OPC,CADM3,CADM3,0
OPC,Adarb2-iNeuron,CADM3,CADM3,0
OPC,L2-L3-eNeuron,CADM3,CADM3,0
OPC,Lhx6-iNeuron,CADM3,CADM3,0
microglia,mural,CD14,ITGB1,0
Olig,mural,COL4A2,ITGA1,0
Olig,mural,COL4A2,ITGB1,0
Olig,OPC,COL4A2,SDC4,0
Olig,astrocytes,COL4A2,SDC4,0
Olig,endothelial,COL4A2,SDC4,0
Olig,mural,COL4A2,SDC4,0
endothelial,mural,COL4A2,ITGA1,0
endothelial,mural,COL4A2,ITGB1,0
endothelial,OPC,COL4A2,SDC4,0
endothelial,astrocytes,COL4A2,SDC4,0.11797316095954878
endothelial,mural,COL4A2,SDC4,0
mural,OPC,COL4A2,SDC4,0
mural,astrocytes,COL4A2,SDC4,0
